date,open,high,low,close,diff,diff_perd,qty
2018-01-18,331.03,331.88,328.77,329.13,-0.06,-0.02,"94,897"
2018-01-17,329.31,330.21,328.03,329.19,-0.83,-0.25,"95,197"
2018-01-16,327.44,330.5,326.65,330.02,2.63,0.8,"107,816"
2018-01-15,328.57,328.94,326.21,327.39,0.67,0.21,"98,450"
2018-01-12,327.34,327.5,324.22,326.72,1.05,0.32,"143,377"
2018-01-11,326.92,327.98,325.07,325.67,-1.94,-0.59,"120,938"
2018-01-10,330.87,330.97,327.07,327.61,-2.64,-0.8,"140,728"
2018-01-09,330.67,332.7,328.53,330.25,-1.03,-0.31,"100,984"
2018-01-08,330.83,331.65,328.47,331.28,2.31,0.7,"88,480"
2018-01-05,326.06,329.03,325.78,328.97,4.39,1.35,"96,164"
2018-01-04,329.52,329.52,324.58,324.58,-2.55,-0.78,"106,565"
2018-01-03,327.13,328.37,326.56,327.13,1.13,0.35,"109,848"
2018-01-02,325.73,326.45,324.3,326,1.26,0.39,"70,744"
